Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,Fire Alarm
23.056,51.11,1,400,12626,19698,939.81,0.08,0.14,0.43,0.156,0.0559999999999999,0
23.131,50.08,5,400,12633,19696,939.813,0.09,0.17,0.46,0.1889999999999999,0.074,0
23.142,50.0,0,400,12629,19704,939.79,0.1,0.17,0.49,0.1889999999999999,0.072,0
23.153,49.85,12,400,12630,19698,939.791,0.1,0.18,0.5,0.195,0.074,0
23.163,49.71,11,400,12637,19710,939.812,0.1,0.17,0.49,0.192,0.073,0
23.174,49.66,14,400,12635,19696,939.8,0.09,0.17,0.47,0.183,0.069,0
23.185,49.6,0,400,12641,19707,939.808,0.09,0.16,0.46,0.177,0.067,0
23.195,49.53,14,400,12630,19703,939.801,0.09,0.16,0.46,0.18,0.068,0
23.206,49.45,1,400,12642,19698,939.805,0.09,0.17,0.47,0.185,0.07,0
23.216,49.31,33,400,12616,19686,939.811,0.09,0.17,0.48,0.187,0.071,0
23.227,49.97,37,400,12613,19678,939.817,0.09,0.16,0.45,0.176,0.067,0
23.238000000000003,50.61,51,400,12609,19660,939.821,0.09,0.16,0.44,0.171,0.065,0
23.248,51.19,44,400,12615,19674,939.827,0.09,0.16,0.49,0.175,0.062,0
23.259,51.75,37,400,12622,19674,939.821,0.1,0.17,0.55,0.182,0.061,0
23.269,52.63,40,400,12622,19679,939.825,0.11,0.19,0.62,0.204,0.068,0
23.28,53.07,39,400,12624,19676,939.822,0.12,0.19,0.62,0.205,0.069,0
23.29,53.48,34,400,12624,19685,939.816,0.11,0.18,0.61,0.201,0.067,0
23.3,53.84,19,400,12623,19681,939.821,0.11,0.18,0.6,0.196,0.066,0
23.311,54.17,31,400,12627,19676,939.804,0.11,0.19,0.58,0.21,0.076,0
23.321,54.43,31,400,12632,19698,939.798,0.11,0.2,0.59,0.214,0.077,0
23.332,54.71,12,400,12631,19698,939.807,0.11,0.2,0.59,0.214,0.077,0
23.597,52.25,10,400,12657,19717,939.795,0.16,0.24,0.89,0.259,0.077,0
23.607,51.91,10,400,12664,19721,939.795,0.14,0.21,0.8,0.231,0.069,0
23.617,51.63,7,400,12658,19712,939.806,0.13,0.2,0.75,0.218,0.065,0
23.627,51.38,6,400,12666,19729,939.799,0.12,0.18,0.66,0.192,0.057,0
23.637,51.16,13,400,12662,19718,939.785,0.11,0.17,0.62,0.18,0.054,0
23.646,50.96,11,400,12669,19713,939.79,0.1,0.15,0.54,0.158,0.047,0
23.656,50.8,13,400,12661,19714,939.784,0.09,0.14,0.51,0.147,0.044,0
23.666,50.63,1,400,12665,19722,939.787,0.08,0.12,0.44,0.128,0.038,0
23.937,55.71,7,400,12676,19719,939.795,0.08,0.12,0.48,0.124,0.032,0
23.946,55.83,17,400,12671,19709,939.784,0.09,0.12,0.51,0.132,0.034,0
23.956,55.98,10,400,12669,19717,939.794,0.09,0.13,0.53,0.1369999999999999,0.035,0
23.965,56.13,18,400,12675,19709,939.79,0.09,0.13,0.54,0.14,0.036,0
23.975,56.23,7,400,12674,19714,939.791,0.09,0.13,0.54,0.139,0.036,0
23.984,56.37,7,400,12673,19715,939.791,0.09,0.12,0.52,0.134,0.035,0
23.993,56.47,13,400,12680,19718,939.803,0.09,0.12,0.51,0.131,0.034,0
24.003,56.57,9,400,12676,19719,939.81,0.09,0.13,0.56,0.14,0.035,0
24.012,56.66,9,400,12674,19714,939.809,0.09,0.13,0.56,0.142,0.035,0
24.021,56.76,6,400,12678,19710,939.808,0.09,0.13,0.56,0.141,0.035,0
24.031,56.83,6,400,12681,19720,939.805,0.09,0.13,0.55,0.139,0.034,0
24.04,56.9,15,400,12681,19721,939.805,0.09,0.12,0.52,0.131,0.033,0
24.049,56.96,4,400,12679,19725,939.813,0.08,0.12,0.5,0.127,0.031,0
24.059,57.2,0,400,12691,19740,939.814,0.09,0.12,0.51,0.126,0.03,0
24.068,56.96,0,400,12697,19750,939.808,0.09,0.12,0.53,0.13,0.031,0
24.077,56.37,0,400,12703,19747,939.816,0.09,0.12,0.53,0.131,0.032,0
24.086,55.13,0,400,12698,19745,939.813,0.09,0.12,0.52,0.128,0.031,0
24.095,54.47,5,400,12699,19752,939.812,0.08,0.11,0.49,0.121,0.0289999999999999,0
24.105,53.94,2,400,12701,19747,939.804,0.08,0.11,0.47,0.1159999999999999,0.0279999999999999,0
24.178,51.06,7,400,12702,19744,939.821,0.08,0.11,0.49,0.1159999999999999,0.026,0
24.187,50.88,12,400,12693,19739,939.827,0.08,0.11,0.51,0.12,0.027,0
24.196,50.74,12,400,12700,19741,939.823,0.08,0.11,0.51,0.12,0.027,0
24.205,50.58,12,400,12698,19740,939.818,0.08,0.11,0.49,0.1169999999999999,0.026,0
24.214,50.41,15,400,12696,19737,939.803,0.08,0.11,0.48,0.114,0.026,0
24.511,56.57,14,400,12706,19735,939.841,0.09,0.12,0.59,0.129,0.025,0
24.52,56.67,11,400,12712,19744,939.843,0.1,0.13,0.63,0.139,0.027,0
24.528,56.75,1,400,12707,19734,939.839,0.11,0.14,0.68,0.149,0.0289999999999999,0
24.536,56.82,12,400,12707,19745,939.847,0.11,0.14,0.69,0.151,0.0289999999999999,0
24.545,56.9,19,400,12714,19738,939.85,0.11,0.14,0.68,0.149,0.0289999999999999,0
24.553,56.97,15,400,12709,19734,939.842,0.11,0.15,0.71,0.16,0.033,0
24.562,57.22,0,400,12725,19762,939.844,0.12,0.16,0.74,0.1669999999999999,0.035,0
24.57,56.97,0,400,12738,19773,939.846,0.12,0.16,0.74,0.1669999999999999,0.035,0
24.578000000000003,56.35,0,400,12734,19764,939.843,0.13,0.17,0.84,0.185,0.036,0
24.587,55.68,0,400,12732,19772,939.843,0.15,0.2,0.97,0.211,0.0409999999999999,0
24.595,55.0,1,400,12731,19763,939.847,0.19,0.24,1.2,0.26,0.049,0
24.604,54.41,0,400,12729,19772,939.846,0.2,0.26,1.27,0.2739999999999999,0.052,0
24.612,53.86,0,400,12737,19767,939.851,0.21,0.27,1.33,0.287,0.054,0
24.62,53.34,8,400,12726,19762,939.837,0.21,0.27,1.33,0.287,0.054,0
24.628,52.92,0,400,12725,19758,939.826,0.22,0.28,1.38,0.295,0.053,0
24.637,52.55,8,400,12729,19759,939.836,0.23,0.29,1.43,0.303,0.054,0
24.645,52.17,6,400,12728,19756,939.832,0.23,0.29,1.46,0.307,0.055,0
24.653,51.9,6,400,12734,19762,939.831,0.24,0.31,1.52,0.331,0.063,0
24.661,51.64,1,400,12733,19769,939.838,0.24,0.31,1.53,0.332,0.063,0
24.67,51.38,13,400,12729,19755,939.837,0.25,0.32,1.59,0.341,0.064,0
24.678,51.15,7,400,12733,19766,939.825,0.25,0.32,1.58,0.34,0.063,0
24.686,50.98,12,400,12732,19765,939.834,0.24,0.31,1.53,0.3289999999999999,0.061,0
24.694000000000003,50.83,12,400,12735,19761,939.838,0.25,0.32,1.59,0.336,0.059,0
24.702,50.65,7,400,12734,19756,939.83,0.26,0.33,1.68,0.35,0.06,0
24.71,50.49,7,400,12729,19750,939.833,0.27,0.34,1.71,0.356,0.061,0
24.719,50.37,3,400,12734,19758,939.833,0.27,0.33,1.7,0.354,0.061,0
24.727,50.24,20,400,12729,19748,939.83,0.26,0.33,1.67,0.349,0.06,0
24.735,50.13,13,400,12735,19763,939.83,0.25,0.31,1.58,0.33,0.057,0
24.743,50.05,8,400,12730,19763,939.827,0.24,0.3,1.53,0.319,0.055,0
24.751,49.98,14,400,12729,19752,939.834,0.23,0.28,1.46,0.302,0.051,0
24.759,49.9,0,400,12736,19764,939.829,0.22,0.28,1.43,0.296,0.05,0
24.767,49.82,3,400,12737,19765,939.822,0.21,0.26,1.35,0.28,0.047,0
24.775,49.73,11,400,12734,19759,939.827,0.2,0.25,1.3,0.27,0.046,0
24.783,49.67,15,400,12739,19763,939.829,0.2,0.25,1.28,0.264,0.044,0
24.791,49.59,13,400,12731,19758,939.836,0.2,0.24,1.26,0.259,0.043,0
24.799,49.53,10,400,12738,19755,939.838,0.19,0.24,1.22,0.252,0.042,0
24.807,49.37,40,400,12715,19729,939.842,0.18,0.22,1.14,0.2339999999999999,0.039,0
24.815,49.64,44,400,12710,19727,939.842,0.17,0.21,1.09,0.225,0.037,0
24.823,50.15,36,400,12711,19725,939.839,0.16,0.19,0.99,0.204,0.034,0
24.831,50.81,29,400,12720,19731,939.844,0.15,0.18,0.94,0.1939999999999999,0.032,0
24.839,51.38,43,400,12714,19731,939.837,0.15,0.18,0.93,0.1889999999999999,0.03,0
24.847,51.89,33,400,12722,19737,939.852,0.14,0.18,0.91,0.185,0.03,0
24.854,52.44,33,400,12722,19737,939.844,0.13,0.17,0.86,0.175,0.0279999999999999,0
24.862,52.9,26,400,12721,19739,939.848,0.13,0.16,0.83,0.168,0.027,0
24.87,53.26,30,400,12724,19739,939.84,0.12,0.15,0.76,0.154,0.025,0
24.878,53.68,14,400,12723,19740,939.834,0.11,0.14,0.72,0.147,0.024,0
24.886,54.05,23,400,12723,19741,939.819,0.1,0.12,0.65,0.132,0.021,0
24.894,54.33,17,400,12726,19748,939.827,0.1,0.12,0.61,0.125,0.02,0
24.901,54.6,12,400,12735,19752,939.831,0.09,0.11,0.59,0.12,0.019,0
24.909,54.84,24,400,12727,19748,939.831,0.09,0.11,0.6,0.121,0.019,0
24.917,55.1,13,400,12731,19754,939.84,0.1,0.12,0.64,0.128,0.02,0
